index,decrypted_text
0,1255.0
1,1295.0
2,1285.0
3,1275.0
4,1220.0
5,1180.0
6,1100.0
7,1130.0
8,1130.0
9,1120.0
10,1110.0
11,1070.0
12,1070.0
13,1035.0
14,1095.0
15,1055.0
16,1060.0
17,1055.0
18,1040.0
19,1145.0
20,1120.0
21,1155.0
22,1140.0
23,1120.0
24,1145.0
25,1160.0
26,1215.0
27,1250.0
28,1265.0
29,1345.0
30,1450.0
31,1440.0
32,1475.0
33,1485.0
34,1445.0
35,1460.0
36,1460.0
37,1420.0
38,1410.0
39,1400.0
40,1405.0
41,1370.0
42,1315.0
43,1320.0
44,1345.0
45,1335.0
46,1330.0
47,1310.0
48,1285.0
49,1285.0
50,1290.0
51,1285.0
52,1300.0
53,1275.0
54,1310.0
55,1325.0
56,1330.0
57,1365.0
58,1325.0
59,1350.0
60,1370.0
61,1375.0
62,1375.0
63,1385.0
64,1375.0
65,1375.0
66,1375.0
67,1335.0
68,1320.0
69,1310.0
70,1300.0
71,1370.0
72,1410.0
73,1390.0
74,1435.0
75,1435.0
76,1440.0
77,1435.0
78,1360.0
79,1350.0
80,1360.0
81,1350.0
82,1335.0
83,1335.0
84,1345.0
85,1335.0
86,1335.0
87,1345.0
88,1300.0
89,1260.0
90,1315.0
91,1330.0
92,1400.0
93,1460.0
94,1465.0
95,1460.0
96,1490.0
97,1520.0
98,1505.0
99,1600.0
100,1715.0
101,1665.0
102,1655.0
103,1625.0
104,1605.0
105,1590.0
106,1620.0
107,1610.0
108,1590.0
109,1555.0
110,1470.0
111,1515.0
112,1540.0
113,1535.0
114,1525.0
115,1565.0
116,1595.0
117,1585.0
118,1555.0
119,1505.0
120,1485.0
121,1490.0
122,1455.0
123,1420.0
124,1390.0
125,1395.0
126,1370.0
127,1345.0
128,1345.0
129,1325.0
130,1305.0
131,1245.0
132,1285.0
133,1345.0
134,1350.0
135,1315.0
136,1295.0
137,1315.0
138,1335.0
139,1355.0
140,1360.0
141,1330.0
142,1350.0
143,1345.0
144,1360.0
145,1355.0
146,1310.0
147,1300.0
148,1295.0
149,1275.0
150,1160.0
151,1195.0
152,1180.0
153,1215.0
154,1225.0
155,1180.0
156,1085.0
157,1060.0
158,1035.0
159,930.0
160,860.0
161,830.0
162,760.0
163,760.0
164,670.0
165,800.0
166,835.0
167,900.0
168,1010.0
169,1050.0
170,970.0
171,1020.0
172,1030.0
173,1055.0
174,1100.0
175,1150.0
176,1200.0
177,1150.0
178,1080.0
179,1075.0
180,1080.0
181,1100.0
182,1035.0
183,1050.0
184,1045.0
185,970.0
186,930.0
187,925.0
188,985.0
189,945.0
190,915.0
191,905.0
192,920.0
193,920.0
194,925.0
195,965.0
196,1030.0
197,1060.0
198,1060.0
199,1040.0
200,1025.0
201,970.0
202,1020.0
203,1065.0
204,1020.0
205,1020.0
206,1020.0
207,1075.0
208,1100.0
209,1185.0
210,1180.0
211,1150.0
212,1130.0
213,1175.0
214,1240.0
215,1180.0
216,1110.0
217,1070.0
218,1085.0
219,1085.0
220,1095.0
221,1075.0
222,1060.0
223,1055.0
224,1050.0
225,1050.0
226,1035.0
227,1025.0
228,1025.0
229,1020.0
230,1045.0
231,1080.0
232,1080.0
233,1065.0
234,1085.0
235,1075.0
236,1125.0
237,1110.0
238,1160.0
239,1170.0
240,1180.0
241,1150.0
242,1160.0
243,1165.0
244,1145.0
245,1150.0
246,1145.0
247,1135.0
248,1110.0
249,1125.0
250,1095.0
251,1100.0
252,1095.0
253,1060.0
254,1055.0
255,1120.0
256,1130.0
257,1140.0
258,1170.0
259,1150.0
260,1130.0
261,1125.0
262,1125.0
263,1135.0
264,1120.0
265,1110.0
266,1135.0
267,1130.0
268,1160.0
269,1165.0
270,1140.0
271,1215.0
272,1230.0
273,1205.0
274,1260.0
275,1280.0
276,1240.0
277,1190.0
278,1185.0
279,1220.0
280,1215.0
281,1205.0
282,1180.0
283,1155.0
284,1160.0
285,1180.0
286,1190.0
287,1160.0
288,1160.0
289,1155.0
290,1185.0
291,1175.0
292,1180.0
293,1185.0
294,1155.0
295,1145.0
296,1135.0
297,1155.0
298,1125.0
299,1130.0
300,1155.0
301,1200.0
302,1195.0
303,1230.0
304,1240.0
305,1225.0
306,1220.0
307,1190.0
308,1175.0
309,1155.0
310,1150.0
311,1150.0
312,1165.0
313,1160.0
314,1155.0
315,1155.0
316,1155.0
317,1155.0
318,1205.0
319,1205.0
320,1190.0
321,1205.0
322,1210.0
323,1205.0
324,1255.0
325,1260.0
326,1290.0
327,1335.0
328,1350.0
329,1365.0
330,1410.0
331,1475.0
